Title,Category,Date of Release,Actors,Directors,Description,Stock
Venom: let There be Carnage,Action,2021,"Tom Hardy, Woody Harresion, Michelle Williams",Andy Serkis,Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady who becomes the host of the symbiote Carnage and escapes prison after a failed execution,5
The Matrix,Sci-fi,1999,"Keanu Reeves,Carrie-Moss,Laurence Fishburne,Hugo Weaving","Lana Wachowski,Lilly Wachowski","Neo (Keanu Reeves) believes that Morpheus (Laurence Fishburne), an elusive figure considered to be the most dangerous man alive, can answer his question -- What is the Matrix? Neo is contacted by Trinity (Carrie-Anne Moss), a beautiful stranger who leads him into an underworld where he meets Morpheus. They fight a brutal battle for their lives against a cadre of viciously intelligent secret agents. It is a truth that could cost Neo something more precious than his life.",15
Get Out,Horror,2017,"Daniel Kaluuya,Allison Williams,Bradley Whitford,LaKeith Stanfeild",Jordan Peele,"Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend getaway upstate with her parents, Missy and Dean. At first, Chris reads the family's overly accommodating behaviour as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries leads him to a truth that he never could have imagined.",10
A Quite Place,Horror,2018,"Emily Blunt,Millicent Simmonds,Millicent Simmonds,Noah Jupe,Cillian Murphy",John Krasinski,"If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by sound. Knowing that even the slightest whisper or footstep can bring death, Evelyn and Lee are determined to find a way to protect their children while desperately searching for a way to fight back.",12
No Time to Die,Action,2021,"Daniel Craig,Lea Seydoux,Rami Malek,Lashana Lynch",Cary Fukunaga,"James Bond is enjoying a tranquil life in Jamaica after leaving active service. However, his peace is short-lived as his old CIA friend, Felix Leiter, shows up and asks for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond on the trail of a mysterious villain who's armed with a dangerous new technology.",3
Shang-Chi and the Legend of the Ten Rings,Adventure,2021,"Simu Liu,Awkwafina,Tony Leung Chiu-wai,Meng'er Zhang",Destin Daniel Cretton,Martial-arts master Shang-Chi confronts the past he thought he left behind when he's drawn into the web of the mysterious Ten Rings organization.,5
Lord of the Rings Fellowship of Rings,Fantasy,2001,"Elijah Wood,Ian McKellen,Orlando Bloom,Viggo Mortensen",Peter Jackson,"The future of civilization rests in the fate of the One Ring, which has been lost for centuries. Powerful forces are unrelenting in their search for it. But fate has placed it in the hands of a young Hobbit named Frodo Baggins (Elijah Wood), who inherits the Ring and steps into legend. A daunting task lies ahead for Frodo when he becomes the Ringbearer - to destroy the One Ring in the fires of Mount Doom where it was forged.",19
Space Jam: A new Legacy,Fantasy,2021,"LeBron James,Michael B. Jordan,Cedric Joe,Zendaya",Malcolm D. Lee,"Superstar LeBron James and his young son, Dom, get trapped in digital space by a rogue AI. To get home safely, LeBron teams up with Bugs Bunny, Daffy Duck and the rest of the Looney Tunes gang for a high-stakes basketball game against the AI's digitized champions of the court -- a powered-up roster called the Goon Squad.",14
Tenet,Sci-fi,2020,"Elizabeth Debicki,Robert Pattinson,John David Washington,Kenneth Branagh",Christopher Nolan,A secret agent is given a single word as his weapon and sent to prevent the onset of World War III. He must travel through time and bend the laws of nature in order to be successful in his mission.,6
Iron Man,Adventure,2008,"Robert Downey Jr,Jon Favreau,Gwyneth Paltrow,Don Cheadle",Jon Favreau,"A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him to force him to build a devastating weapon. Instead, he builds an armored suit and upends his captors. Returning to America, Stark refines the suit and uses it to combat crime and terrorism.",5
